safe_anchor,page_rank,https_token,ratio_nullHyperlinks,nb_extCSS,links_in_tags,phish_hints,ratio_intRedirection,length_words_raw,ratio_extRedirection,google_index,ratio_extMedia,ratio_intHyperlinks,domain_registration_length,length_hostname,ip,longest_words_raw,avg_words_raw,avg_word_host,ratio_intMedia,longest_word_host,dns_record,ratio_extErrors,nb_hyperlinks,ratio_extHyperlinks,longest_word_path,length_url,ratio_intErrors,avg_word_path,domain_in_title,ratio_digits_url,domain_age,ratio_digits_host,url_complexity_score,suspicious_char_count,url_length_category,domain_trust_score,has_ip_flag,redirection_complexity,special_token_flag,subdomain_risk,ext_link_risk,page_deception_score
0.118,4,0,0.106,15,0.239,2,0.225,28,0.918,1,0.385,0.339,1575,46,0,13,8.4,6.6,0.104,11,0,0.157,97,0.6,15,69,0.498,6.33,0,0.341,965,0.026,13,0,1,4,0,0,1,4,3.793,3
0.368,1,1,0.012,9,0.606,2,0.917,4,0.171,0,0.403,0.203,292,19,0,19,2.5,7.0,0.346,10,1,0.21,22,0.768,3,34,0.349,7.27,0,0.176,6907,0.117,15,0,0,3,0,6,1,3,2.856,0
0.097,5,1,0.392,10,0.07,0,0.89,4,0.194,1,0.478,0.171,688,28,0,23,2.28,7.38,0.134,6,1,0.339,67,0.921,6,22,0.034,8.8,0,0.369,1456,0.345,18,2,0,5,0,0,1,5,3.49,2
0.66,8,0,0.123,18,0.129,0,0.863,15,0.333,0,0.925,0.696,115,27,0,11,9.15,3.53,0.99,5,1,0.449,10,0.946,18,73,0.332,8.57,1,0.329,3776,0.239,12,3,1,4,0,2,0,2,3.953,1
0.274,1,0,0.449,12,0.842,1,0.176,6,0.349,0,0.564,0.556,1217,10,0,10,3.32,7.75,0.863,14,1,0.195,12,0.303,8,180,0.234,2.7,0,0.017,6281,0.101,12,1,2,3,0,4,0,0,1.802,1
0.013,9,1,0.252,2,0.674,3,0.755,19,0.795,0,0.696,0.29,1390,19,0,18,5.32,7.32,0.338,6,0,0.452,15,0.652,19,73,0.003,5.53,0,0.329,1152,0.118,23,1,1,3,0,0,1,2,3.998,0
0.714,1,0,0.046,3,0.665,1,0.881,26,0.674,1,0.011,0.576,1028,41,1,19,4.77,9.18,0.618,19,1,0.304,80,0.346,4,161,0.491,9.95,0,0.225,3795,0.287,16,1,2,4,1,1,0,2,2.69,0
0.993,4,0,0.409,0,0.826,2,0.449,11,0.245,1,0.199,0.785,1806,10,0,6,2.23,8.34,0.933,18,1,0.295,75,0.315,5,73,0.494,4.23,1,0.326,3393,0.344,11,2,1,5,0,2,0,4,1.73,2
0.234,4,1,0.0,12,0.342,0,0.137,15,0.227,1,0.21,0.077,1818,28,0,24,11.76,9.65,0.35,19,1,0.199,60,0.537,17,27,0.382,6.35,1,0.233,2176,0.225,19,2,0,5,0,2,1,0,2.264,0
0.643,1,1,0.205,1,0.506,2,0.473,25,0.086,0,0.251,0.877,1930,48,0,18,2.65,8.17,0.604,17,1,0.155,7,0.419,12,243,0.308,8.14,0,0.334,5689,0.02,13,0,2,2,0,4,1,2,1.584,1
0.939,6,0,0.187,6,0.688,2,0.636,4,0.133,1,0.364,0.514,559,52,0,11,5.75,8.01,0.366,10,1,0.435,30,0.59,9,151,0.086,9.24,0,0.185,4003,0.289,22,1,2,5,0,1,0,1,2.471,1
0.747,3,0,0.261,7,0.49,1,0.618,15,0.39,1,0.329,0.261,2624,29,1,21,5.88,3.97,0.247,9,0,0.356,98,0.579,5,44,0.22,3.16,1,0.284,3426,0.069,15,1,0,4,1,2,0,1,2.873,1
0.236,9,0,0.381,9,0.445,2,0.012,7,0.534,1,0.926,0.181,1299,50,0,9,5.44,4.01,0.959,7,0,0.413,1,0.213,6,149,0.166,5.62,0,0.204,1933,0.051,13,0,2,3,0,4,1,4,2.12,2
